habitation_id,name,latitude,longitude,population,children_population,elderly_population,hazard_score,accessibility_score,historical_floods
H201,Pandu Port Ghat,26.172,91.7015,3400,620,480,94,30,7
H202,Uzan Bazar Riverside,26.1932,91.758,2800,450,390,88,45,5
H203,North Guwahati Island Ward,26.2085,91.724,4100,850,620,96,20,8
H204,Kamakhyapuram Hill Foot,26.166,91.708,1950,310,220,78,40,4
H205,Dispur Capital Sector,26.143,91.789,5200,720,610,32,90,1
H206,Khanapara Foothills,26.118,91.821,1600,240,180,65,60,3
H207,Boragaon Deepor Beel Basin,26.1285,91.685,3100,580,410,91,25,6
H208,Noonmati Refinery Colony,26.189,91.802,2900,410,360,45,75,2
H209,Amingaon Industrial Belt,26.197,91.678,2450,380,290,72,55,4
H210,Jalukbari Transit Hub,26.151,91.661,3800,490,430,58,85,2
